1,14.0
2,17.0
3,19.3
4,21.1
5,22.535
6,23.6975
7,24.652
8,25.444375
9,26.1079625
10,26.6675375
11,27.141926875000003
12,27.5457446875
13,27.89055725
14,28.185676296875002
15,28.4387079578125
16,28.6559399734375
17,28.842620583359377
18,29.00316388964844
19,29.141304513625002
20,29.260216631130863
21,29.362607464202544
22,29.45079204918184
23,29.52675396846136
24,29.59219532564203
25,29.6485783058093
26,29.69716002961083
27,29.73902197622113
28,29.77509494804574
29,29.80618033514699
30,29.83296828129533
31,29.856053237612148
32,29.875947301705793
33,29.893091671872007
34,29.907866491869825
35,29.920599318275134
36,29.931572406884296
37,29.94102898527512
38,29.94917865412632
39,29.956202039288165
40,29.96225479916277
41,29.967471077135666
42,29.971966476163978
43,29.975840621821348
44,29.979179370841834
45,29.982056714261013
46,29.984536417428508
47,29.986673433299206
48,29.98851512036313
49,29.99010229223013
50,29.991470122145476
